County,FIPSC,FIPS,State,2018,2019,2020
Clay,37043,037043,North Carolina,"33,043","34,901","37,625"
Cleveland,37045,037045,North Carolina,"36,920","38,859","41,616"
Columbus,37047,037047,North Carolina,"31,827","33,376","37,112"
Craven,37049,037049,North Carolina,"42,495","45,308","48,832"
Cumberland,37051,037051,North Carolina,"37,919","39,799","42,992"
Currituck,37053,037053,North Carolina,"45,460","46,911","49,152"
Dare,37055,037055,North Carolina,"54,295","56,573","59,240"
Davidson,37057,037057,North Carolina,"38,966","40,647","43,348"
Davie,37059,037059,North Carolina,"47,774","49,964","52,153"
Duplin,37061,037061,North Carolina,"33,314","35,354","37,872"
Durham,37063,037063,North Carolina,"49,557","51,380","54,056"
Edgecombe,37065,037065,North Carolina,"34,443","36,237","39,394"
Forsyth,37067,037067,North Carolina,"47,037","48,756","51,323"
Franklin,37069,037069,North Carolina,"36,088","36,826","39,490"
Gaston,37071,037071,North Carolina,"39,851","41,330","44,103"
Gates,37073,037073,North Carolina,"36,883","38,915","41,571"
Graham,37075,037075,North Carolina,"33,017","35,055","37,943"
Granville,37077,037077,North Carolina,"38,053","40,359","42,807"
Greene,37079,037079,North Carolina,"30,343","32,088","34,811"
Guilford,37081,037081,North Carolina,"45,234","47,013","49,856"
Halifax,37083,037083,North Carolina,"35,342","37,146","39,680"
Harnett,37085,037085,North Carolina,"34,359","35,873","38,280"
Haywood,37087,037087,North Carolina,"39,540","41,523","43,754"
Henderson,37089,037089,North Carolina,"43,626","45,680","47,385"
Hertford,37091,037091,North Carolina,"31,222","32,717","36,216"
Hoke,37093,037093,North Carolina,"31,402","32,845","35,411"
Hyde,37095,037095,North Carolina,"35,397","39,776","42,832"
Iredell,37097,037097,North Carolina,"51,163","53,465","56,201"
Jackson,37099,037099,North Carolina,"33,255","35,663","38,341"
Johnston,37101,037101,North Carolina,"40,272","41,318","44,087"
Jones,37103,037103,North Carolina,"37,400","41,434","43,254"
Lee,37105,037105,North Carolina,"40,923","42,390","44,870"
Lenoir,37107,037107,North Carolina,"39,285","40,990","44,361"
Lincoln,37109,037109,North Carolina,"45,514","47,322","50,216"
McDowell,37111,037111,North Carolina,"34,190","35,086","37,858"
Macon,37113,037113,North Carolina,"39,243","41,654","44,564"
Madison,37115,037115,North Carolina,"33,747","35,888","38,148"
Martin,37117,037117,North Carolina,"33,431","35,403","38,301"
Mecklenburg,37119,037119,North Carolina,"60,804","62,846","65,244"
Mitchell,37121,037121,North Carolina,"35,781","37,046","39,476"
Montgomery,37123,037123,North Carolina,"35,608","36,850","39,353"
Moore,37125,037125,North Carolina,"50,526","52,441","54,514"
Nash,37127,037127,North Carolina,"41,564","43,315","45,890"
New Hanover,37129,037129,North Carolina,"46,049","48,558","50,780"
Northampton,37131,037131,North Carolina,"33,506","36,080","38,402"
Onslow,37133,037133,North Carolina,"40,077","40,671","43,122"
Orange,37135,037135,North Carolina,"62,393","65,530","67,089"
Pamlico,37137,037137,North Carolina,"40,568","42,848","45,994"
Pasquotank,37139,037139,North Carolina,"37,819","39,521","42,529"
Pender,37141,037141,North Carolina,"37,403","39,418","41,292"
Perquimans,37143,037143,North Carolina,"39,284","41,234","44,402"
Person,37145,037145,North Carolina,"37,342","39,038","41,581"
Pitt,37147,037147,North Carolina,"41,163","42,882","45,169"
Polk,37149,037149,North Carolina,"43,276","46,661","48,125"
Randolph,37151,037151,North Carolina,"37,378","38,935","41,231"
Richmond,37153,037153,North Carolina,"34,157","35,434","38,554"
Robeson,37155,037155,North Carolina,"28,846","30,552","33,062"
Rockingham,37157,037157,North Carolina,"36,586","38,057","40,672"
Rowan,37159,037159,North Carolina,"38,338","40,714","43,724"
Rutherford,37161,037161,North Carolina,"32,180","34,065","36,714"
Sampson,37163,037163,North Carolina,"33,889","35,805","38,165"
Scotland,37165,037165,North Carolina,"32,428","33,895","36,247"
Stanly,37167,037167,North Carolina,"38,545","39,931","42,613"
Stokes,37169,037169,North Carolina,"37,340","38,775","41,186"
Surry,37171,037171,North Carolina,"37,875","39,696","42,133"
Swain,37173,037173,North Carolina,"38,462","40,824","44,213"
Transylvania,37175,037175,North Carolina,"41,102","43,065","44,747"
Tyrrell,37177,037177,North Carolina,"29,285","33,699","37,638"
Union,37179,037179,North Carolina,"52,475","54,534","56,820"
Vance,37181,037181,North Carolina,"33,643","35,002","37,774"
Wake,37183,037183,North Carolina,"60,330","62,657","65,450"
Warren,37185,037185,North Carolina,"29,228","30,317","33,779"
Washington,37187,037187,North Carolina,"34,454","36,780","39,912"
Watauga,37189,037189,North Carolina,"36,704","38,652","40,157"
Wayne,37191,037191,North Carolina,"38,115","40,116","42,882"
Wilkes,37193,037193,North Carolina,"36,445","37,309","39,518"
Wilson,37195,037195,North Carolina,"39,158","40,260","43,111"
Yadkin,37197,037197,North Carolina,"37,328","39,012","41,250"
Yancey,37199,037199,North Carolina,"36,475","38,011","40,422"
Adams,38001,038001,North Dakota,"46,920","49,382","59,255"
Barnes,38003,038003,North Dakota,"52,638","56,985","64,242"
Benson,38005,038005,North Dakota,"36,824","36,229","45,003"
Billings,38007,038007,North Dakota,"78,008","81,562","82,466"
Bottineau,38009,038009,North Dakota,"62,199","61,826","68,631"
Bowman,38011,038011,North Dakota,"61,172","68,298","68,963"
Burke,38013,038013,North Dakota,"73,840","76,582","77,237"
Burleigh,38015,038015,North Dakota,"59,381","61,147","62,801"
Cass,38017,038017,North Dakota,"57,597","59,415","61,899"
Cavalier,38019,038019,North Dakota,"74,820","64,238","88,702"
Dickey,38021,038021,North Dakota,"54,902","63,334","71,888"
Divide,38023,038023,North Dakota,"52,531","55,971","62,052"
Dunn,38025,038025,North Dakota,"63,808","67,270","68,491"
Eddy,38027,038027,North Dakota,"59,883","60,794","74,844"
Emmons,38029,038029,North Dakota,"49,479","51,194","64,430"
Foster,38031,038031,North Dakota,"61,268","61,967","76,313"
Golden Valley,38033,038033,North Dakota,"37,752","39,030","46,435"
Grand Forks,38035,038035,North Dakota,"51,496","53,381","57,659"
Grant,38037,038037,North Dakota,"43,023","45,297","57,761"
Griggs,38039,038039,North Dakota,"57,992","58,748","73,753"
Hettinger,38041,038041,North Dakota,"48,395","50,384","59,519"
Kidder,38043,038043,North Dakota,"51,092","53,103","64,918"
LaMoure,38045,038045,North Dakota,"52,791","60,161","70,351"
Logan,38047,038047,North Dakota,"53,489","51,572","59,859"
McHenry,38049,038049,North Dakota,"53,196","52,552","59,320"
McIntosh,38051,038051,North Dakota,"55,917","60,988","70,812"
McKenzie,38053,038053,North Dakota,"68,494","67,761","64,035"
McLean,38055,038055,North Dakota,"56,859","61,260","66,025"
Mercer,38057,038057,North Dakota,"58,663","58,923","60,497"
Morton,38059,038059,North Dakota,"53,084","54,782","57,708"
Mountrail,38061,038061,North Dakota,"64,063","65,591","64,982"
Nelson,38063,038063,North Dakota,"60,783","61,641","75,907"
Oliver,38065,038065,North Dakota,"44,851","45,805","52,076"
Pembina,38067,038067,North Dakota,"58,930","60,963","72,827"
Pierce,38069,038069,North Dakota,"51,064","48,329","57,159"
Ramsey,38071,038071,North Dakota,"49,414","50,171","57,250"
Ransom,38073,038073,North Dakota,"54,827","59,123","65,153"
Renville,38075,038075,North Dakota,"75,079","71,625","80,431"
Richland,38077,038077,North Dakota,"49,981","52,375","54,465"
Rolette,38079,038079,North Dakota,"36,026","36,455","41,884"
Sargent,38081,038081,North Dakota,"55,738","62,704","67,215"
Sheridan,38083,038083,North Dakota,"48,170","47,192","58,958"
Sioux,38085,038085,North Dakota,"27,710","28,194","33,675"
Slope,38087,038087,North Dakota,"40,838","45,086","60,039"
Stark,38089,038089,North Dakota,"62,343","65,914","63,650"
Steele,38091,038091,North Dakota,"55,133","62,811","84,674"
Stutsman,38093,038093,North Dakota,"51,666","54,679","62,694"
Towner,38095,038095,North Dakota,"70,334","59,474","87,632"
Traill,38097,038097,North Dakota,"50,381","54,952","64,096"
Walsh,38099,038099,North Dakota,"51,266","52,544","63,790"
Ward,38101,038101,North Dakota,"54,284","56,161","57,492"
Wells,38103,038103,North Dakota,"59,809","60,817","79,403"
Williams,38105,038105,North Dakota,"70,474","69,619","64,850"
Adams,39001,039001,Ohio,"34,849","35,553","39,658"
Allen,39003,039003,Ohio,"42,427","43,268","46,500"
Ashland,39005,039005,Ohio,"38,595","39,969","43,041"
Ashtabula,39007,039007,Ohio,"38,923","40,039","43,597"
Athens,39009,039009,Ohio,"33,402","34,387","36,642"
Auglaize,39011,039011,Ohio,"48,735","49,225","52,330"
Belmont,39013,039013,Ohio,"42,836","41,735","43,354"
Brown,39015,039015,Ohio,"37,428","38,935","42,275"
Butler,39017,039017,Ohio,"47,498","49,959","52,598"
Carroll,39019,039019,Ohio,"39,504","40,997","44,624"
Champaign,39021,039021,Ohio,"41,353","42,403","46,605"
Clark,39023,039023,Ohio,"40,263","41,625","45,363"
Clermont,39025,039025,Ohio,"53,893","57,571","60,535"
Clinton,39027,039027,Ohio,"45,082","45,049","48,542"
Columbiana,39029,039029,Ohio,"38,282","39,387","42,771"
Coshocton,39031,039031,Ohio,"35,262","36,258","39,640"
Crawford,39033,039033,Ohio,"38,720","39,667","43,918"
Cuyahoga,39035,039035,Ohio,"54,612","55,998","59,923"
Darke,39037,039037,Ohio,"43,987","44,202","48,088"
Defiance,39039,039039,Ohio,"40,995","41,905","45,385"
Delaware,39041,039041,Ohio,"74,837","76,131","79,382"
Erie,39043,039043,Ohio,"60,406","55,748","56,732"
Fairfield,39045,039045,Ohio,"46,436","47,809","51,153"
Fayette,39047,039047,Ohio,"38,583","40,049","46,261"
Franklin,39049,039049,Ohio,"50,184","51,467","55,294"
Fulton,39051,039051,Ohio,"45,506","47,145","50,349"
Gallia,39053,039053,Ohio,"39,560","40,492","43,932"
Geauga,39055,039055,Ohio,"69,949","71,824","73,958"
Greene,39057,039057,Ohio,"50,478","51,648","54,645"
Guernsey,39059,039059,Ohio,"40,629","41,731","45,218"
Hamilton,39061,039061,Ohio,"59,550","61,458","65,035"
Hancock,39063,039063,Ohio,"50,191","50,556","54,386"
Hardin,39065,039065,Ohio,"32,894","33,253","36,506"
Harrison,39067,039067,Ohio,"38,607","39,466","42,014"
Henry,39069,039069,Ohio,"44,650","46,216","50,752"
Highland,39071,039071,Ohio,"36,269","37,274","41,094"
Hocking,39073,039073,Ohio,"38,010","39,253","42,337"
Holmes,39075,039075,Ohio,"45,612","47,386","48,118"
Huron,39077,039077,Ohio,"40,609","41,776","45,844"
Jackson,39079,039079,Ohio,"35,514","36,816","40,663"
Jefferson,39081,039081,Ohio,"38,916","40,683","44,375"
Knox,39083,039083,Ohio,"43,197","44,390","47,964"
Lake,39085,039085,Ohio,"51,402","52,811","56,085"
Lawrence,39087,039087,Ohio,"38,521","39,413","42,905"
Licking,39089,039089,Ohio,"46,030","47,498","50,810"
Logan,39091,039091,Ohio,"43,047","44,189","48,471"
Lorain,39093,039093,Ohio,"46,507","47,989","51,157"
Lucas,39095,039095,Ohio,"46,147","47,719","51,024"
Madison,39097,039097,Ohio,"41,247","42,296","46,679"
Mahoning,39099,039099,Ohio,"42,992","44,315","47,729"
Marion,39101,039101,Ohio,"37,393","37,873","41,449"
Medina,39103,039103,Ohio,"56,311","57,630","60,514"
Meigs,39105,039105,Ohio,"34,713","36,055","39,644"
Mercer,39107,039107,Ohio,"52,830","50,940","54,527"
Miami,39109,039109,Ohio,"47,759","48,999","52,469"
Monroe,39111,039111,Ohio,"35,404","37,565","41,242"
Montgomery,39113,039113,Ohio,"46,786","48,143","51,618"
Morgan,39115,039115,Ohio,"33,024","34,508","38,583"
Morrow,39117,039117,Ohio,"39,275","40,740","44,282"
Muskingum,39119,039119,Ohio,"40,855","42,506","46,070"
Noble,39121,039121,Ohio,"27,335","27,981","30,397"
Ottawa,39123,039123,Ohio,"52,226","54,026","57,446"
Paulding,39125,039125,Ohio,"40,818","41,831","46,097"
Perry,39127,039127,Ohio,"37,505","38,562","41,913"
Pickaway,39129,039129,Ohio,"40,924","42,169","46,033"
Pike,39131,039131,Ohio,"37,706","38,804","42,774"
Portage,39133,039133,Ohio,"44,319","45,500","48,285"
Preble,39135,039135,Ohio,"40,164","41,302","45,016"
Putnam,39137,039137,Ohio,"49,465","50,699","54,646"
Richland,39139,039139,Ohio,"39,173","40,313","43,928"
Ross,39141,039141,Ohio,"37,235","39,010","42,348"
Sandusky,39143,039143,Ohio,"41,563","42,343","46,113"
Scioto,39145,039145,Ohio,"39,122","40,794","43,820"
Seneca,39147,039147,Ohio,"39,002","40,458","44,993"
Shelby,39149,039149,Ohio,"45,556","46,069","49,956"
Stark,39151,039151,Ohio,"44,912","46,384","49,592"
Summit,39153,039153,Ohio,"51,404","53,580","56,821"
Trumbull,39155,039155,Ohio,"41,043","41,559","45,142"
Tuscarawas,39157,039157,Ohio,"43,952","45,039","47,937"
Union,39159,039159,Ohio,"58,905","59,835","64,147"
Van Wert,39161,039161,Ohio,"42,507","43,120","47,339"
Vinton,39163,039163,Ohio,"33,713","35,022","38,881"
Warren,39165,039165,Ohio,"60,439","62,896","65,855"
Washington,39167,039167,Ohio,"43,360","44,343","47,365"
Wayne,39169,039169,Ohio,"45,133","46,939","49,901"
Williams,39171,039171,Ohio,"41,256","42,965","46,040"
Wood,39173,039173,Ohio,"47,624","48,566","51,147"
Wyandot,39175,039175,Ohio,"44,854","46,032","50,573"
Adair,40001,040001,Oklahoma,"29,020","29,926","32,724"
Alfalfa,40003,040003,Oklahoma,"39,579","40,970","43,043"
Atoka,40005,040005,Oklahoma,"32,121","32,869","34,758"
Beaver,40007,040007,Oklahoma,"52,237","54,416","57,190"
Beckham,40009,040009,Oklahoma,"38,847","39,364","41,041"
Blaine,40011,040011,Oklahoma,"42,419","43,857","44,435"
Bryan,40013,040013,Oklahoma,"34,189","35,545","37,561"
Caddo,40015,040015,Oklahoma,"35,750","37,535","39,673"
Canadian,40017,040017,Oklahoma,"45,975","46,596","48,267"
Carter,40019,040019,Oklahoma,"43,074","44,167","45,874"
Cherokee,40021,040021,Oklahoma,"32,574","33,943","35,764"
Choctaw,40023,040023,Oklahoma,"30,998","32,340","35,627"
Cimarron,40025,040025,Oklahoma,"61,295","66,785","68,446"
Cleveland,40027,040027,Oklahoma,"45,295","46,488","48,042"
Coal,40029,040029,Oklahoma,"36,378","38,752","38,938"
Comanche,40031,040031,Oklahoma,"41,285","42,639","45,432"
Cotton,40033,040033,Oklahoma,"40,230","43,995","47,794"
Craig,40035,040035,Oklahoma,"37,375","39,286","41,477"
Creek,40037,040037,Oklahoma,"40,612","42,591","44,706"
Custer,40039,040039,Oklahoma,"40,152","41,708","43,373"
Delaware,40041,040041,Oklahoma,"32,594","33,819","35,435"
Dewey,40043,040043,Oklahoma,"46,491","50,635","51,656"
Ellis,40045,040045,Oklahoma,"51,734","53,949","55,592"
Garfield,40047,040047,Oklahoma,"44,288","45,053","46,702"
Garvin,40049,040049,Oklahoma,"38,315","40,132","42,189"
Grady,40051,040051,Oklahoma,"40,277","41,854","43,506"
Grant,40053,040053,Oklahoma,"41,607","47,131","53,075"
Greer,40055,040055,Oklahoma,"28,163","29,876","32,547"
Harmon,40057,040057,Oklahoma,"36,852","41,582","45,688"
Harper,40059,040059,Oklahoma,"49,199","50,182","50,223"
Haskell,40061,040061,Oklahoma,"32,348","33,186","33,617"
Hughes,40063,040063,Oklahoma,"39,298","41,863","43,758"
Jackson,40065,040065,Oklahoma,"40,299","43,272","46,426"
Jefferson,40067,040067,Oklahoma,"32,673","34,158","37,467"
Johnston,40069,040069,Oklahoma,"36,732","35,555","38,971"
Kay,40071,040071,Oklahoma,"40,172","41,813","44,718"
Kingfisher,40073,040073,Oklahoma,"53,924","56,383","58,591"
Kiowa,40075,040075,Oklahoma,"34,220","37,429","40,736"
Latimer,40077,040077,Oklahoma,"34,208","34,821","35,756"
Le Flore,40079,040079,Oklahoma,"32,225","33,527","35,362"
Lincoln,40081,040081,Oklahoma,"35,363","36,731","39,164"
Logan,40083,040083,Oklahoma,"43,406","44,566","46,102"
Love,40085,040085,Oklahoma,"37,752","38,248","40,353"
McClain,40087,040087,Oklahoma,"46,437","48,780","49,683"
McCurtain,40089,040089,Oklahoma,"32,168","33,072","35,511"
McIntosh,40091,040091,Oklahoma,"33,408","35,972","38,217"
Major,40093,040093,Oklahoma,"44,485","44,106","45,667"
Marshall,40095,040095,Oklahoma,"33,202","34,406","36,800"
Mayes,40097,040097,Oklahoma,"35,604","36,741","39,149"
Murray,40099,040099,Oklahoma,"42,637","43,556","45,419"
Muskogee,40101,040101,Oklahoma,"36,149","37,881","39,894"
Noble,40103,040103,Oklahoma,"41,795","44,736","47,378"
Nowata,40105,040105,Oklahoma,"35,887","37,236","39,961"
Okfuskee,40107,040107,Oklahoma,"29,158","31,625","33,520"
Oklahoma,40109,040109,Oklahoma,"51,313","55,917","56,971"
Okmulgee,40111,040111,Oklahoma,"33,559","35,187","37,367"
Osage,40113,040113,Oklahoma,"34,875","36,438","38,588"
Ottawa,40115,040115,Oklahoma,"36,490","38,356","40,876"
Pawnee,40117,040117,Oklahoma,"35,970","37,399","39,491"
Payne,40119,040119,Oklahoma,"37,034","39,113","40,487"
Pittsburg,40121,040121,Oklahoma,"38,415","39,638","40,786"
Pontotoc,40123,040123,Oklahoma,"42,860","45,121","47,748"
Pottawatomie,40125,040125,Oklahoma,"37,181","39,769","40,043"
Pushmataha,40127,040127,Oklahoma,"31,747","32,731","35,650"
Roger Mills,40129,040129,Oklahoma,"44,984","44,266","46,054"
Rogers,40131,040131,Oklahoma,"46,769","48,836","50,583"
Seminole,40133,040133,Oklahoma,"33,581","35,152","37,463"
Sequoyah,40135,040135,Oklahoma,"32,733","34,256","36,537"
Stephens,40137,040137,Oklahoma,"42,376","44,182","46,027"
Texas,40139,040139,Oklahoma,"53,030","56,591","55,434"
Tillman,40141,040141,Oklahoma,"33,991","38,114","38,316"
Tulsa,40143,040143,Oklahoma,"63,340","64,444","65,519"
Wagoner,40145,040145,Oklahoma,"40,116","41,458","43,111"
Washington,40147,040147,Oklahoma,"63,641","59,436","58,010"
Washita,40149,040149,Oklahoma,"34,818","36,574","38,017"
Woods,40151,040151,Oklahoma,"44,551","45,859","47,226"
Woodward,40153,040153,Oklahoma,"38,117","38,420","40,710"
Baker,41001,041001,Oregon,"40,070","41,658","46,277"
Benton,41003,041003,Oregon,"45,846","47,920","50,399"
Clackamas,41005,041005,Oregon,"58,903","61,375","64,791"
Clatsop,41007,041007,Oregon,"44,901","45,743","48,777"
Columbia,41009,041009,Oregon,"43,828","45,379","48,749"
Coos,41011,041011,Oregon,"43,550","46,120","50,581"
Crook,41013,041013,Oregon,"41,415","42,981","46,179"
Curry,41015,041015,Oregon,"42,714","44,490","48,046"
Deschutes,41017,041017,Oregon,"55,473","57,493","61,216"
Douglas,41019,041019,Oregon,"40,455","41,804","46,342"
Gilliam,41021,041021,Oregon,"50,504","56,907","67,754"
Grant,41023,041023,Oregon,"41,220","42,596","47,569"
Harney,41025,041025,Oregon,"39,000","40,779","47,009"
Hood River,41027,041027,Oregon,"54,963","55,609","60,225"
Jackson,41029,041029,Oregon,"45,903","47,708","51,824"
Jefferson,41031,041031,Oregon,"34,350","35,376","39,552"
Josephine,41033,041033,Oregon,"40,980","43,694","46,913"
Klamath,41035,041035,Oregon,"39,777","40,457","44,513"
Lake,41037,041037,Oregon,"40,373","41,826","47,402"
Lane,41039,041039,Oregon,"44,957","45,960","49,583"
Lincoln,41041,041041,Oregon,"43,858","44,689","47,231"
Linn,41043,041043,Oregon,"42,811","43,971","48,040"
Malheur,41045,041045,Oregon,"31,610","33,562","37,964"
Marion,41047,041047,Oregon,"42,383","44,464","48,135"
Morrow,41049,041049,Oregon,"45,016","48,535","58,541"
Multnomah,41051,041051,Oregon,"57,195","59,402","63,852"
Polk,41053,041053,Oregon,"41,045","42,718","45,660"
Sherman,41055,041055,Oregon,"54,618","57,119","66,349"
Tillamook,41057,041057,Oregon,"43,619","44,607","48,060"
Umatilla,41059,041059,Oregon,"39,728","41,267","46,209"
Union,41061,041061,Oregon,"39,755","40,881","45,242"
Wallowa,41063,041063,Oregon,"43,273","45,435","50,303"
Wasco,41065,041065,Oregon,"42,673","43,397","48,643"
Washington,41067,041067,Oregon,"60,999","63,425","66,831"
Wheeler,41069,041069,Oregon,"35,656","37,385","41,366"
Yamhill,41071,041071,Oregon,"45,273","47,151","51,028"
Adams,42001,042001,Pennsylvania,"48,826","50,785","54,172"
Allegheny,42003,042003,Pennsylvania,"63,371","64,718","68,777"
Armstrong,42005,042005,Pennsylvania,"44,955","47,058","51,200"
Beaver,42007,042007,Pennsylvania,"48,416","50,385","55,449"
Bedford,42009,042009,Pennsylvania,"41,911","42,762","46,246"
Berks,42011,042011,Pennsylvania,"49,549","51,606","55,953"
Blair,42013,042013,Pennsylvania,"46,236","47,573","52,096"
Bradford,42015,042015,Pennsylvania,"40,626","43,071","45,979"
Bucks,42017,042017,Pennsylvania,"73,655","76,502","80,627"
Butler,42019,042019,Pennsylvania,"58,575","60,995","64,732"
Cambria,42021,042021,Pennsylvania,"43,050","44,620","48,637"
Cameron,42023,042023,Pennsylvania,"48,251","48,108","53,654"
Carbon,42025,042025,Pennsylvania,"51,641","52,887","56,868"
Centre,42027,042027,Pennsylvania,"46,210","47,947","50,615"
Chester,42029,042029,Pennsylvania,"84,955","88,403","91,927"
Clarion,42031,042031,Pennsylvania,"40,756","42,015","45,427"
Clearfield,42033,042033,Pennsylvania,"44,839","46,443","50,648"
Clinton,42035,042035,Pennsylvania,"39,382","42,765","46,338"
Columbia,42037,042037,Pennsylvania,"42,286","43,558","47,464"
Crawford,42039,042039,Pennsylvania,"40,644","42,127","46,356"
Cumberland,42041,042041,Pennsylvania,"55,119","57,256","61,596"
Dauphin,42043,042043,Pennsylvania,"50,878","52,892","56,792"
Delaware,42045,042045,Pennsylvania,"67,223","69,950","73,588"
Elk,42047,042047,Pennsylvania,"48,420","48,791","53,592"
Erie,42049,042049,Pennsylvania,"44,740","46,259","50,536"
Fayette,42051,042051,Pennsylvania,"42,126","43,522","48,007"
Forest,42053,042053,Pennsylvania,"22,919","25,260","28,271"
Franklin,42055,042055,Pennsylvania,"46,435","48,014","51,979"
Fulton,42057,042057,Pennsylvania,"44,740","45,483","48,976"
Greene,42059,042059,Pennsylvania,"43,093","44,600","49,103"
Huntingdon,42061,042061,Pennsylvania,"37,957","39,381","43,555"
Indiana,42063,042063,Pennsylvania,"39,749","41,155","44,472"
Jefferson,42065,042065,Pennsylvania,"44,101","45,191","48,971"
Juniata,42067,042067,Pennsylvania,"44,984","45,746","50,257"
Lackawanna,42069,042069,Pennsylvania,"47,013","48,388","52,580"
Lancaster,42071,042071,Pennsylvania,"52,682","54,529","58,434"
Lawrence,42073,042073,Pennsylvania,"43,478","44,844","49,059"
Lebanon,42075,042075,Pennsylvania,"47,772","49,099","52,743"
Lehigh,42077,042077,Pennsylvania,"52,315","54,308","58,402"
Luzerne,42079,042079,Pennsylvania,"44,535","45,938","50,391"
Lycoming,42081,042081,Pennsylvania,"43,070","44,688","48,721"
McKean,42083,042083,Pennsylvania,"43,965","44,352","47,361"
Mercer,42085,042085,Pennsylvania,"42,121","43,102","47,063"
Mifflin,42087,042087,Pennsylvania,"39,351","40,186","44,242"
Monroe,42089,042089,Pennsylvania,"42,708","44,150","48,409"
Montgomery,42091,042091,Pennsylvania,"79,439","82,176","86,340"
Montour,42093,042093,Pennsylvania,"56,876","58,284","62,658"
Northampton,42095,042095,Pennsylvania,"54,861","56,607","60,179"
Northumberland,42097,042097,Pennsylvania,"41,104","42,867","47,336"
Perry,42099,042099,Pennsylvania,"45,096","46,662","50,095"
Philadelphia,42101,042101,Pennsylvania,"54,467","54,163","58,941"
Pike,42103,042103,Pennsylvania,"48,397","50,631","53,289"
Potter,42105,042105,Pennsylvania,"44,241","44,771","47,910"
Schuylkill,42107,042107,Pennsylvania,"41,982","43,420","47,425"
Snyder,42109,042109,Pennsylvania,"41,998","42,902","47,000"
Somerset,42111,042111,Pennsylvania,"41,252","42,782","47,035"
Sullivan,42113,042113,Pennsylvania,"46,008","48,102","51,266"
Susquehanna,42115,042115,Pennsylvania,"44,695","46,787","49,114"
Tioga,42117,042117,Pennsylvania,"39,902","41,923","45,319"
Union,42119,042119,Pennsylvania,"40,256","41,982","45,235"
Venango,42121,042121,Pennsylvania,"41,621","43,388","47,125"
Warren,42123,042123,Pennsylvania,"41,764","43,077","46,793"
Washington,42125,042125,Pennsylvania,"58,264","58,216","62,473"
Wayne,42127,042127,Pennsylvania,"44,004","45,429","49,172"
Westmoreland,42129,042129,Pennsylvania,"51,729","53,750","57,951"
Wyoming,42131,042131,Pennsylvania,"45,540","47,177","50,959"
York,42133,042133,Pennsylvania,"50,069","52,015","55,761"
Bristol,44001,044001,Rhode Island,"76,358","79,976","83,127"
Kent,44003,044003,Rhode Island,"58,728","61,199","65,299"
Newport,44005,044005,Rhode Island,"68,549","72,569","76,214"
Providence,44007,044007,Rhode Island,"47,139","49,258","53,844"
Washington,44009,044009,Rhode Island,"65,638","68,421","71,717"
Abbeville,45001,045001,South Carolina,"33,475","35,065","38,033"
Aiken,45003,045003,South Carolina,"42,510","44,503","47,118"
Allendale,45005,045005,South Carolina,"32,254","33,110","38,991"
Anderson,45007,045007,South Carolina,"39,926","41,306","43,459"
Bamberg,45009,045009,South Carolina,"33,122","34,611","37,596"
Barnwell,45011,045011,South Carolina,"33,479","35,961","38,682"
Beaufort,45013,045013,South Carolina,"56,461","59,377","61,298"
Berkeley,45015,045015,South Carolina,"40,895","41,968","44,134"
Calhoun,45017,045017,South Carolina,"39,327","41,620","44,655"
Charleston,45019,045019,South Carolina,"60,885","64,486","66,656"
Cherokee,45021,045021,South Carolina,"32,282","33,738","36,567"
Chester,45023,045023,South Carolina,"33,259","35,664","38,931"
Chesterfield,45025,045025,South Carolina,"31,234","32,535","34,477"
Clarendon,45027,045027,South Carolina,"33,477","34,665","38,001"
Colleton,45029,045029,South Carolina,"35,446","37,026","40,336"
Darlington,45031,045031,South Carolina,"37,281","39,085","41,928"
Dillon,45033,045033,South Carolina,"28,730","30,468","33,030"
Dorchester,45035,045035,South Carolina,"39,053","40,840","42,662"
Edgefield,45037,045037,South Carolina,"35,665","37,506","41,178"
Fairfield,45039,045039,South Carolina,"37,075","38,277","41,827"
Florence,45041,045041,South Carolina,"41,586","43,759","46,749"
Georgetown,45043,045043,South Carolina,"47,054","49,260","51,775"
Greenville,45045,045045,South Carolina,"48,361","49,742","52,213"
Greenwood,45047,045047,South Carolina,"36,498","38,031","40,786"
Hampton,45049,045049,South Carolina,"32,353","33,833","39,185"
Horry,45051,045051,South Carolina,"38,025","39,633","42,110"
Jasper,45053,045053,South Carolina,"30,350","31,847","34,446"
Kershaw,45055,045055,South Carolina,"41,317","43,196","45,782"
Lancaster,45057,045057,South Carolina,"50,863","50,584","52,999"
Laurens,45059,045059,South Carolina,"34,948","35,796","38,108"
Lee,45061,045061,South Carolina,"31,482","33,349","36,638"
Lexington,45063,045063,South Carolina,"46,715","47,789","50,188"
McCormick,45065,045065,South Carolina,"38,947","39,949","42,422"
Marion,45067,045067,South Carolina,"31,711","33,465","36,606"
Marlboro,45069,045069,South Carolina,"31,809","32,379","35,748"
Newberry,45071,045071,South Carolina,"37,278","39,210","41,910"
Oconee,45073,045073,South Carolina,"44,204","45,471","47,511"
Orangeburg,45075,045075,South Carolina,"33,856","35,700","38,730"
Pickens,45077,045077,South Carolina,"38,546","39,845","41,770"
Richland,45079,045079,South Carolina,"45,001","46,806","49,678"
Saluda,45081,045081,South Carolina,"34,123","35,242","37,637"
Spartanburg,45083,045083,South Carolina,"42,669","44,151","46,543"
