date,dateId,pricePerGallonGas,,,,
Jun-2004,"38,168",1.969,,,,
Jul-2004,"38,199",1.911,,,,
Aug-2004,"38,230",1.878,,,,
Sep-2004,"38,260",1.87,,,,
Oct-2004,"38,291",2,,,,
Nov-2004,"38,321",1.979,,,,
Dec-2004,"38,352",1.841,,,,
Jan-2005,"38,383",1.831,,,,
Feb-2005,"38,411",1.91,,,,
Mar-2005,"38,442",2.079,,,,
Apr-2005,"38,472",2.243,,,,
May-2005,"38,503",2.161,,,,
Jun-2005,"38,533",2.156,,,,
Jul-2005,"38,564",2.29,,,,
Aug-2005,"38,595",2.486,,,,
Sep-2005,"38,625",2.903,,,,
Oct-2005,"38,656",2.717,,,,
Nov-2005,"38,686",2.257,,,,
Dec-2005,"38,717",2.185,,,,
Jan-2006,"38,748",2.316,,,,
Feb-2006,"38,776",2.28,,,,
Mar-2006,"38,807",2.425,,,,
Apr-2006,"38,837",2.742,,,,
May-2006,"38,868",2.907,,,,
Jun-2006,"38,898",2.885,,,,
Jul-2006,"38,929",2.981,,,,
Aug-2006,"38,960",2.952,,,,
Sep-2006,"38,990",2.555,,,,
Oct-2006,"39,021",2.245,,,,
Nov-2006,"39,051",2.229,,,,
Dec-2006,"39,082",2.313,,,,
Jan-2007,"39,113",2.24,,,,
Feb-2007,"39,141",2.278,,,,
Mar-2007,"39,172",2.563,,,,
Apr-2007,"39,202",2.845,,,,
May-2007,"39,233",3.146,,,,
Jun-2007,"39,263",3.056,,,,
Jul-2007,"39,294",2.965,,,,
Aug-2007,"39,325",2.786,,,,
Sep-2007,"39,355",2.803,,,,
Oct-2007,"39,386",2.803,,,,
Nov-2007,"39,416",3.08,,,,
Dec-2007,"39,447",3.018,,,,
Jan-2008,"39,478",3.043,,,,
Feb-2008,"39,507",3.028,,,,
Mar-2008,"39,538",3.244,,,,
Apr-2008,"39,568",3.458,,,,
May-2008,"39,599",3.766,,,,
Jun-2008,"39,629",4.054,,,,
Jul-2008,"39,660",4.062,,,,
Aug-2008,"39,691",3.779,,,,
Sep-2008,"39,721",3.703,,,,
Oct-2008,"39,752",3.051,,,,
Nov-2008,"39,782",2.147,,,,
Dec-2008,"39,813",1.687,,,,
Jan-2009,"39,844",1.788,,,,
Feb-2009,"39,872",1.923,,,,
Mar-2009,"39,903",1.959,,,,
Apr-2009,"39,933",2.049,,,,
May-2009,"39,964",2.266,,,,
Jun-2009,"39,994",2.631,,,,
Jul-2009,"40,025",2.527,,,,
Aug-2009,"40,056",2.616,,,,
Sep-2009,"40,086",2.554,,,,
Oct-2009,"40,117",2.551,,,,
Nov-2009,"40,147",2.651,,,,
Dec-2009,"40,178",2.607,,,,
Jan-2010,"40,209",2.715,,,,
Feb-2010,"40,237",2.644,,,,
Mar-2010,"40,268",2.772,,,,
Apr-2010,"40,298",2.848,,,,
May-2010,"40,329",2.836,,,,
Jun-2010,"40,359",2.732,,,,
Jul-2010,"40,390",2.729,,,,
Aug-2010,"40,421",2.73,,,,
Sep-2010,"40,451",2.705,,,,
Oct-2010,"40,482",2.801,,,,
Nov-2010,"40,512",2.859,,,,
Dec-2010,"40,543",2.993,,,,
Jan-2011,"40,574",3.095,,,,
Feb-2011,"40,602",3.211,,,,
Mar-2011,"40,633",3.561,,,,
Apr-2011,"40,663",3.8,,,,
May-2011,"40,694",3.906,,,,
Jun-2011,"40,724",3.68,,,,
Jul-2011,"40,755",3.65,,,,
Aug-2011,"40,786",3.639,,,,
Sep-2011,"40,816",3.611,,,,
Oct-2011,"40,847",3.448,,,,
Nov-2011,"40,877",3.384,,,,
Dec-2011,"40,908",3.266,,,,
Jan-2012,"40,939",3.38,,,,
Feb-2012,"40,968",3.579,,,,
Mar-2012,"40,999",3.852,,,,
Apr-2012,"41,029",3.9,,,,
May-2012,"41,060",3.732,,,,
Jun-2012,"41,090",3.539,,,,
Jul-2012,"41,121",3.439,,,,
Aug-2012,"41,152",3.722,,,,
Sep-2012,"41,182",3.849,,,,
Oct-2012,"41,213",3.746,,,,
Nov-2012,"41,243",3.452,,,,
Dec-2012,"41,274",3.31,,,,
Jan-2013,"41,305",3.319,,,,
Feb-2013,"41,333",3.67,,,,
Mar-2013,"41,364",3.711,,,,
Apr-2013,"41,394",3.57,,,,
May-2013,"41,425",3.615,,,,
Jun-2013,"41,455",3.626,,,,
Jul-2013,"41,486",3.591,,,,
Aug-2013,"41,517",3.574,,,,
Sep-2013,"41,547",3.532,,,,
Oct-2013,"41,578",3.344,,,,
Nov-2013,"41,608",3.243,,,,
Dec-2013,"41,639",3.276,,,,
Jan-2014,"41,670",3.313,,,,
Feb-2014,"41,698",3.356,,,,
Mar-2014,"41,729",3.533,,,,
Apr-2014,"41,759",3.661,,,,
May-2014,"41,790",3.673,,,,
Jun-2014,"41,820",3.692,,,,
Jul-2014,"41,851",3.611,,,,
Aug-2014,"41,882",3.487,,,,
Sep-2014,"41,912",3.406,,,,
Oct-2014,"41,943",3.171,,,,
Nov-2014,"41,973",2.912,,,,
Dec-2014,"42,004",2.543,,,,
Jan-2015,"42,035",2.116,,,,
Feb-2015,"42,063",2.216,,,,
Mar-2015,"42,094",2.464,,,,
Apr-2015,"42,124",2.469,,,,
May-2015,"42,155",2.718,,,,
Jun-2015,"42,185",2.802,,,,
Jul-2015,"42,216",2.794,,,,
Aug-2015,"42,247",2.636,,,,
Sep-2015,"42,277",2.365,,,,
Oct-2015,"42,308",2.29,,,,
Nov-2015,"42,338",2.158,,,,
Dec-2015,"42,369",2.038,,,,
Jan-2016,"42,400",1.949,,,,
Feb-2016,"42,429",1.764,,,,
Mar-2016,"42,460",1.969,,,,
Apr-2016,"42,490",2.113,,,,
May-2016,"42,521",2.268,,,,
Jun-2016,"42,551",2.366,,,,
Jul-2016,"42,582",2.239,,,,
Aug-2016,"42,613",2.178,,,,
Sep-2016,"42,643",2.219,,,,
Oct-2016,"42,674",2.249,,,,
Nov-2016,"42,704",2.182,,,,
Dec-2016,"42,735",2.254,,,,
Jan-2017,"42,766",2.349,,,,
Feb-2017,"42,794",2.304,,,,
Mar-2017,"42,825",2.325,,,,
Apr-2017,"42,855",2.417,,,,
May-2017,"42,886",2.391,,,,
Jun-2017,"42,916",2.347,,,,
Jul-2017,"42,947",2.3,,,,
Aug-2017,"42,978",2.38,,,,
Sep-2017,"43,008",2.645,,,,
Oct-2017,"43,039",2.505,,,,
Nov-2017,"43,069",2.564,,,,
Dec-2017,"43,100",2.477,,,,
Jan-2018,"43,131",2.555,,,,
Feb-2018,"43,159",2.587,,,,
Mar-2018,"43,190",2.591,,,,
Apr-2018,"43,220",2.757,,,,
May-2018,"43,251",2.901,,,,
Jun-2018,"43,281",2.891,,,,
Jul-2018,"43,312",2.849,,,,
Aug-2018,"43,343",2.836,,,,
Sep-2018,"43,373",2.836,,,,
Oct-2018,"43,404",2.86,,,,
Nov-2018,"43,434",2.647,,,,
Dec-2018,"43,465",2.366,,,,
Jan-2019,"43,496",2.248,,,,
Feb-2019,"43,524",2.309,,,,
Mar-2019,"43,555",2.516,,,,
Apr-2019,"43,585",2.798,,,,
May-2019,"43,616",2.859,,,,
Jun-2019,"43,646",2.716,,,,
Jul-2019,"43,677",2.74,,,,
Aug-2019,"43,708",2.621,,,,
Sep-2019,"43,738",2.592,,,,
Oct-2019,"43,769",2.627,,,,
Nov-2019,"43,799",2.598,,,,
Dec-2019,"43,830",2.555,,,,
Jan-2020,"43,861",2.548,,,,
Feb-2020,"43,890",2.442,,,,
Mar-2020,"43,921",2.234,,,,
Apr-2020,"43,951",1.841,,,,
May-2020,"43,982",1.87,,,,
Jun-2020,"44,012",2.082,,,,
Jul-2020,"44,043",2.183,,,,
Aug-2020,"44,074",2.182,,,,
Sep-2020,"44,104",2.183,,,,
Oct-2020,"44,135",2.158,,,,
Nov-2020,"44,165",2.108,,,,
Dec-2020,"44,196",2.195,,,,
Jan-2021,"44,227",2.334,,,,
Feb-2021,"44,255",2.501,,,,
Mar-2021,"44,286",2.81,,,,
Apr-2021,"44,316",2.858,,,,
May-2021,"44,347",2.985,,,,
Jun-2021,"44,377",3.064,,,,
Jul-2021,"44,408",3.136,,,,
Aug-2021,"44,439",3.158,,,,
Sep-2021,"44,469",3.175,,,,
Oct-2021,"44,500",3.291,,,,
Nov-2021,"44,530",3.395,,,,
Dec-2021,"44,561",3.307,,,,
Jan-2022,"44,592",3.315,,,,
Feb-2022,"44,620",3.517,,,,
