Vehicle ID,Fuel ID,Fuel Configuration ID,Manufacturer ID,Category ID,Model,Model Year,Alternative Fuel Economy City,Alternative Fuel Economy Highway,Alternative Fuel Economy Combined,Conventional Fuel Economy City,Conventional Fuel Economy Highway,Conventional Fuel Economy Combined,Transmission Type,Engine Type,Engine Size,Engine Cylinder Count,Engine Description,Manufacturer,Manufacturer URL,Category,Fuel Code,Fuel,Fuel Configuration Name,Electric-Only Range,PHEV Type,Notes,Drivetrain
12953,41,,377,29,"e-tron S Sportback (21"" or 22"" wheels)",2022,64,66,65,,,,Auto,e-motor,157kW electric motor,,"157kW electric motor;
240 Ah battery",Audi,http://progress.audiusa.com/,SUV,ELEC,Electric,,185,,,AWD
12954,41,,377,29,Q4 e-tron quattro,2022,100,89,95,,,,Auto,e-motor,80 kW and 150 kW electric motor,,"80 kW and 150 kW electric motors;
234 Ah battery",Audi,http://progress.audiusa.com/,SUV,ELEC,Electric,,241,,,AWD
12955,41,,377,29,Q4 e-tron Sportback quattro,2022,100,89,95,,,,Auto,e-motor,80 kW and 150 kW electric motor,,"80 kW and 150 kW electric motors;
234 Ah battery",Audi,http://progress.audiusa.com/,SUV,ELEC,Electric,,241,,,AWD
13023,45,9,377,29,Q5 quattro,2022,,,,23,28,25,Auto,SI,2.0L,4,2.0L I4,Audi,http://progress.audiusa.com/,SUV,HYBR,Hybrid Electric,Hybrid Electric,,,,AWD
12795,45,9,377,29,Q5 S line quattro,2022,,,,23,28,25,Auto,SI,2.0L,4,2.0L I4,Audi,http://progress.audiusa.com/,SUV,HYBR,Hybrid Electric,Hybrid Electric,,,,AWD
12796,45,9,377,29,Q5 Sportback S line quattro,2022,,,,23,28,25,Auto,SI,2.0L,4,2.0L I4,Audi,http://progress.audiusa.com/,SUV,HYBR,Hybrid Electric,Hybrid Electric,,,,AWD
12832,57,,377,27,Q5 TFSI e quattro,2022,,,61,25,27,26,Auto,SI,2.0L,4,"2.0L I4;
105 kW electric motor",Audi,http://progress.audiusa.com/,Sedan/Wagon,PHEV,Plug-in Hybrid Electric,,23,Blended,,AWD
12797,45,9,377,29,Q7 quattro,2022,,,,18,23,20,Auto,SI,3.0L,6,3.0L V6,Audi,http://progress.audiusa.com/,SUV,HYBR,Hybrid Electric,Hybrid Electric,,,,AWD
12798,45,9,377,29,Q8 quattro,2022,,,,18,23,20,Auto,SI,3.0L,6,3.0L V6,Audi,http://progress.audiusa.com/,SUV,HYBR,Hybrid Electric,Hybrid Electric,,,,AWD
12799,45,9,377,27,RS 6 Avant,2022,,,,15,22,17,Auto,SI,4.0L,8,4.0L V8,Audi,http://progress.audiusa.com/,Sedan/Wagon,HYBR,Hybrid Electric,Hybrid Electric,,,,AWD
12800,45,9,377,27,RS7,2022,,,,15,22,17,Auto,SI,4.0L,8,4.0L V8,Audi,http://progress.audiusa.com/,Sedan/Wagon,HYBR,Hybrid Electric,Hybrid Electric,,,,AWD
12956,41,,377,29,RS e-tron GT,2022,100,89,95,,,,Auto,e-motor,335 kW electric motor,,"335 kW electric motor;
723 Ah battery",Audi,http://progress.audiusa.com/,SUV,ELEC,Electric,,241,,,AWD
12801,45,9,377,27,RS Q8,2022,,,,13,19,15,Auto,SI,4.0L,8,4.0L V8,Audi,http://progress.audiusa.com/,Sedan/Wagon,HYBR,Hybrid Electric,Hybrid Electric,,,,AWD
12792,45,9,377,27,S6,2022,,,,18,28,22,Auto,SI,2.9L,6,2.9L V6,Audi,http://progress.audiusa.com/,Sedan/Wagon,HYBR,Hybrid Electric,Hybrid Electric,,,,AWD
12793,45,9,377,27,S7,2022,,,,18,28,22,Auto,SI,2.9L,6,2.9L V6,Audi,http://progress.audiusa.com/,Sedan/Wagon,HYBR,Hybrid Electric,Hybrid Electric,,,,AWD
12977,45,9,377,27,S8,2022,,,,14,23,17,Auto,SI,4.0L,8,4.0L V8,Audi,http://progress.audiusa.com/,Sedan/Wagon,HYBR,Hybrid Electric,Hybrid Electric,,,,AWD
13067,57,9,211,27,330e Sedan,2022,,,75,25,33,28,Auto,SI,2.0L,4,"2.0L I4;
80 kW electric motor",BMW,www.bmwusa.com,Sedan/Wagon,PHEV,Plug-in Hybrid Electric,Hybrid Electric,23,Blended,,RWD
13068,57,9,211,27,330e xDrive,2022,,,67,22,30,25,Auto,SI,2.0L,4,"2.0L I4;
80 kW electric motor",BMW,www.bmwusa.com,Sedan/Wagon,PHEV,Plug-in Hybrid Electric,Hybrid Electric,20,Blended,,AWD
13069,57,9,211,27,530e Sedan,2022,,,64,24,29,26,Auto,SI,2.0L,4,"2.0L I4;
80 kW electric motor",BMW,www.bmwusa.com,Sedan/Wagon,PHEV,Plug-in Hybrid Electric,Hybrid Electric,21,Blended,,RWD
13070,57,9,211,27,530e xDrive Sedan,2022,,,62,22,28,25,Auto,SI,2.0L,4,"2.0L I4;
80 kW electric motor",BMW,www.bmwusa.com,Sedan/Wagon,PHEV,Plug-in Hybrid Electric,Hybrid Electric,19,Blended,,AWD
12859,45,9,211,27,540i Sedan,2022,,,,25,32,27,Auto,SI,3.0L,6,3.0L V6,BMW,www.bmwusa.com,Sedan/Wagon,HYBR,Hybrid Electric,Hybrid Electric,,,,RWD
12805,45,9,211,27,540i xDrive Sedan,2022,,,,22,29,25,Auto,SI,3.0L,6,3.0L V6,BMW,www.bmwusa.com,Sedan/Wagon,HYBR,Hybrid Electric,Hybrid Electric,,,,AWD
13071,57,9,211,27,745e xDrive,2022,,,56,19,26,22,Auto,SI,3.0L,6,"3.0L V6;
83 kW electric motor",BMW,www.bmwusa.com,Sedan/Wagon,PHEV,Plug-in Hybrid Electric,Hybrid Electric,17,Blended,,AWD
13047,41,1,211,27,"i4 eDrive40 Gran Coupe (18"" Wheels) ",2022,109,108,109,,,,Auto,e-motor,250 kW electric motor,,"250 kW electric motor;
211 Ah battery",BMW,www.bmwusa.com,Sedan/Wagon,ELEC,Electric,Dedicated,301,,,RWD
13046,41,1,211,27,"i4 eDrive40 Gran Coupe (19"" Wheels) ",2022,100,98,99,,,,Auto,e-motor,250 kW electric motor,,"250 kW electric motor;
211 Ah battery",BMW,www.bmwusa.com,Sedan/Wagon,ELEC,Electric,Dedicated,282,,,RWD
13048,41,1,211,27,"i4 M50 Gran Coupe (19"" Wheels) ",2022,94,98,96,,,,Auto,e-motor,190 and 230 kW electric motors,,"190 and 230 kW electric motors;
211 Ah battery",BMW,www.bmwusa.com,Sedan/Wagon,ELEC,Electric,Dedicated,270,,,AWD
13049,41,1,211,27,"i4 M50 Gran Coupe (20"" Wheels) ",2022,79,80,80,,,,Auto,e-motor,190 and 230 kW electric motors,,"190 and 230 kW electric motors;
211 Ah battery",BMW,www.bmwusa.com,Sedan/Wagon,ELEC,Electric,Dedicated,227,,,AWD
13050,41,1,211,29,"iX xDrive50 (20"" Wheels) ",2022,86,87,86,,,,Auto,e-motor,190 and 230 kW electric motors,,"190 and 230 kW electric motors;
303 Ah battery",BMW,www.bmwusa.com,SUV,ELEC,Electric,Dedicated,324,,,AWD
13051,41,1,211,29,"iX xDrive50 (21"" Wheels) ",2022,82,84,83,,,,Auto,e-motor,190 and 230 kW electric motors,,"190 and 230 kW electric motors;
303 Ah battery",BMW,www.bmwusa.com,SUV,ELEC,Electric,Dedicated,305,,,AWD
13052,41,1,211,29,"iX xDrive50 (22"" Wheels) ",2022,86,85,86,,,,Auto,e-motor,190 and 230 kW electric motors,,"190 and 230 kW electric motors;
303 Ah battery",BMW,www.bmwusa.com,SUV,ELEC,Electric,Dedicated,315,,,AWD
12855,45,9,211,27,M340i Sedan,2022,,,,23,32,26,Auto,SI,3.0L,6,3.0L V6,BMW,www.bmwusa.com,Sedan/Wagon,HYBR,Hybrid Electric,Hybrid Electric,,,,RWD
12856,45,9,211,27,M340i xDrive Sedan,2022,,,,23,32,26,Auto,SI,3.0L,6,3.0L V6,BMW,www.bmwusa.com,Sedan/Wagon,HYBR,Hybrid Electric,Hybrid Electric,,,,AWD
12804,45,9,211,27,M440i Convertible,2022,,,,23,31,26,Auto,SI,3.0L,6,3.0L V6,BMW,www.bmwusa.com,Sedan/Wagon,HYBR,Hybrid Electric,Hybrid Electric,,,,AWD
12802,45,9,211,27,M440i Coupe,2022,,,,25,34,28,Auto,SI,3.0L,6,3.0L V6,BMW,www.bmwusa.com,Sedan/Wagon,HYBR,Hybrid Electric,Hybrid Electric,,,,RWD
12857,45,9,211,27,M440i xDrive Convertible,2022,,,,23,31,26,Auto,SI,3.0L,6,3.0L V6,BMW,www.bmwusa.com,Sedan/Wagon,HYBR,Hybrid Electric,Hybrid Electric,,,,AWD
12858,45,9,211,27,M440i xDrive Coupe,2022,,,,23,32,26,Auto,SI,3.0L,6,3.0L V6,BMW,www.bmwusa.com,Sedan/Wagon,HYBR,Hybrid Electric,Hybrid Electric,,,,AWD
12803,45,9,211,27,M440i xDrive Gran Coupe,2022,,,,22,29,25,Auto,SI,3.0L,6,3.0L V6,BMW,www.bmwusa.com,Sedan/Wagon,HYBR,Hybrid Electric,Hybrid Electric,,,,RWD
12860,45,9,211,29,X3 M40i,2022,,,,21,26,23,Auto,SI,3.0L,6,3.0L V6,BMW,www.bmwusa.com,SUV,HYBR,Hybrid Electric,Hybrid Electric,,,,AWD
12861,45,9,211,29,X4 M40i,2022,,,,21,26,23,Auto,SI,3.0L,6,3.0L V6,BMW,www.bmwusa.com,SUV,HYBR,Hybrid Electric,Hybrid Electric,,,,AWD
12862,45,9,211,29,X5 sDrive40i,2022,,,,21,26,23,Auto,SI,3.0L,6,3.0L V6,BMW,www.bmwusa.com,SUV,HYBR,Hybrid Electric,Hybrid Electric,,,,RWD
12863,45,9,211,29,X5 xDrive40i,2022,,,,21,25,23,Auto,SI,3.0L,6,3.0L V6,BMW,www.bmwusa.com,SUV,HYBR,Hybrid Electric,Hybrid Electric,,,,AWD
13072,57,9,211,29,X5 xDrive45e,2022,,,50,19,22,20,Auto,SI,3.0L,6,"3.0L I6;
83 kW electric motor",BMW,www.bmwusa.com,SUV,PHEV,Plug-in Hybrid Electric,Hybrid Electric,31,Blended,,AWD
12864,45,9,211,29,X6 xDrive40i,2022,,,,21,25,23,Auto,SI,3.0L,6,3.0L V6,BMW,www.bmwusa.com,SUV,HYBR,Hybrid Electric,Hybrid Electric,,,,AWD
12865,45,9,211,29,X7 xDrive40i,2022,,,,19,24,21,Auto,SI,3.0L,6,3.0L V6,BMW,www.bmwusa.com,SUV,HYBR,Hybrid Electric,Hybrid Electric,,,,AWD
12778,41,1,215,27,Bolt EUV,2022,125,104,115,,,,,e-motor,150 kW electric motor,,"150 kW electric motor;
189 Ah battery",Chevrolet,http://www.chevrolet.com,Sedan/Wagon,ELEC,Electric,Dedicated,247,,,FWD
12777,41,1,215,27,Bolt EV,2022,131,109,120,,,,,e-motor,150 kW electric motor,,"150 kW electric motor;
189 Ah battery",Chevrolet,http://www.chevrolet.com,Sedan/Wagon,ELEC,Electric,Dedicated,259,,,FWD
13035,57,9,223,9,Pacifica Hybrid,2022,,,82,29,30,30,Auto,SI,3.6L,6,"3.6L V6;
89 kW electric motor",Chrysler,http://www.chrysler.com,Van,PHEV,Plug-in Hybrid Electric,Hybrid Electric,32,Blended,,FWD
13036,57,9,409,27,SF90 Stradale ,2022,,,51,16,20,18,Auto,SI,3.9L,8,"3.9L V8;
99kW, 99kW, and 150kW electric motors",Ferrari,http://www.ferrari.com/en_us/,Sedan/Wagon,PHEV,Plug-in Hybrid Electric,Hybrid Electric,9,Blended,,AWD
12982,45,9,219,27,Escape AWD HEV,2022,,,,43,37,40,Auto,SI,2.5L I4,4,2.5L I4,Ford,https://www.ford.com,Sedan/Wagon,HYBR,Hybrid Electric,Hybrid Electric,,,,AWD
12981,45,9,219,27,Escape FWD HEV,2022,,,,44,37,41,Auto,SI,2.5L I4,4,2.5L I4,Ford,https://www.ford.com,Sedan/Wagon,HYBR,Hybrid Electric,Hybrid Electric,,,,FWD
13037,57,9,219,29,Escape FWD PHEV,2022,,,105,43,38,41,Auto,SI,2.5L,4,"2.5L I4;
96 kW electric motor",Ford,https://www.ford.com,SUV,PHEV,Plug-in Hybrid Electric,Hybrid Electric,37,Blended,,FWD
12980,45,9,219,29,Explorer HEV AWD,2022,,,,23,26,25,Auto,SI,3.3L V6,6,3.3L V6,Ford,https://www.ford.com,SUV,HYBR,Hybrid Electric,Hybrid Electric,,,,AWD
12978,45,9,219,29,Explorer HEV RWD,2022,,,,27,28,27,Auto,SI,3.3L V6,6,3.3L V6,Ford,https://www.ford.com,SUV,HYBR,Hybrid Electric,Hybrid Electric,,,,RWD
12979,45,9,219,29,Explorer Platinum HEV ,2022,,,,25,25,26,Auto,SI,3.3L V6,6,3.3L V6,Ford,https://www.ford.com,SUV,HYBR,Hybrid Electric,Hybrid Electric,,,,RWD
13024,45,9,219,29,Explorer Platinum HEV ,2022,,,,23,24,23,Auto,SI,3.3L V6,6,3.3L V6,Ford,https://www.ford.com,SUV,HYBR,Hybrid Electric,Hybrid Electric,,,,Part-Time 4WD
13025,45,9,219,25,F150 Pickup 2WD HEV,2022,,,,25,25,25,Auto,SI,3.5L V6,6,3.5L V6,Ford,https://www.ford.com,Pickup,HYBR,Hybrid Electric,Hybrid Electric,,,,RWD
13026,45,9,219,25,F150 Pickup 4WD HEV,2022,,,,23,23,23,Auto,SI,3.5L V6,6,3.5L V6,Ford,https://www.ford.com,Pickup,HYBR,Hybrid Electric,Hybrid Electric,,,,4WD
13066,45,9,219,25,Maverick Pickup HEV,2022,,,,42,33,37,Auto,SI,2.5L V6,4,2.5L I4,Ford,https://www.ford.com,Pickup,HYBR,Hybrid Electric,Hybrid Electric,,,,FWD
13059,41,1,219,29,Mustang Mach-E AWD,2022,98,86,93,,,,Auto,e-motor,198 kW electric motors (x2),,"198 kW electric motors (x2);
216 Ah battery",Ford,https://www.ford.com,SUV,ELEC,Electric,Dedicated,224,,,AWD
13056,41,1,219,29,Mustang Mach-E AWD California Route 1,2022,105,91,98,,,,Auto,e-motor,258 kW electric motors (x2),,"258 kW electric motors (x2);
288 Ah battery",Ford,https://www.ford.com,SUV,ELEC,Electric,Dedicated,312,,,AWD
13060,41,1,219,29,Mustang Mach-E AWD Extended,2022,97,84,91,,,,Auto,e-motor,258 kW electric motors (x2),,"258 kW electric motors (x2);
288 Ah battery",Ford,https://www.ford.com,SUV,ELEC,Electric,Dedicated,277,,,AWD
13057,41,1,219,29,Mustang Mach-E GT AWD,2022,90,77,84,,,,Auto,e-motor,179  kW electric motors (X2),,"179  kW electric motors (X2);
288 Ah battery",Ford,https://www.ford.com,SUV,ELEC,Electric,Dedicated,270,,,AWD
13058,41,1,219,29,Mustang Mach-E GT Performance,2022,88,75,82,,,,Auto,e-motor,179  kW electric motor,,"179  kW electric motor;
288 Ah battery",Ford,https://www.ford.com,SUV,ELEC,Electric,Dedicated,260,,,RWD
13053,41,1,219,29,Mustang Mach-E RWD,2022,110,96,103,,,,Auto,e-motor,198 kW electric motor,,"198 kW electric motor;
216 kWh battery",Ford,https://www.ford.com,SUV,ELEC,Electric,Dedicated,247,,,RWD
13055,41,1,219,29,Mustang Mach-E RWD California Route 1,2022,108,94,101,,,,Auto,e-motor,216 kW electric motor,,"216 kW electric motor;
288 Ah battery",Ford,https://www.ford.com,SUV,ELEC,Electric,Dedicated,314,,,RWD
13054,41,1,219,29,Mustang Mach-E RWD Extended,2022,104,90,97,,,,Auto,e-motor,216 kW electric motor,,"216 kW electric motor;
288 Ah battery",Ford,https://www.ford.com,SUV,ELEC,Electric,Dedicated,303,,,RWD
12930,45,9,209,27,Accord,2022,,,,48,47,47,Auto,SI,2.0L,4,2.0L I4,Honda,http://automobiles.honda.com,Sedan/Wagon,HYBR,Hybrid Electric,Hybrid Electric,,,,FWD
12929,45,9,209,27,Accord Sport/Touring,2022,,,,44,41,43,Auto,SI,2.0L,4,2.0L I4,Honda,http://automobiles.honda.com,Sedan/Wagon,HYBR,Hybrid Electric,Hybrid Electric,,,,FWD
12886,45,9,209,29,CR-V AWD,2022,,,,40,35,38,Auto,SI,2.0L,4,2.0L I4,Honda,http://automobiles.honda.com,SUV,HYBR,Hybrid Electric,Hybrid Electric,,,,AWD
12806,45,9,209,27,Insight,2022,,,,55,49,52,Auto,SI,1.5L,4,1.5L I4,Honda,http://automobiles.honda.com,Sedan/Wagon,HYBR,Hybrid Electric,Hybrid Electric,,,,FWD
12807,45,9,209,27,Insight Touring,2022,,,,51,45,48,Auto,SI,1.5L,4,1.5L I4,Honda,http://automobiles.honda.com,Sedan/Wagon,HYBR,Hybrid Electric,Hybrid Electric,,,,FWD
12808,45,9,351,27,Elantra Hybrid,2022,,,,49,52,50,Auto,SI,1.6L,4,1.6L I4,Hyundai,http://www.hyundaiusa.com/,Sedan/Wagon,HYBR,Hybrid Electric,Hybrid Electric,,,,FWD
12809,45,9,351,27,Elantra Hybrid Blue,2022,,,,53,56,54,Auto,SI,1.6L,4,1.6L I4,Hyundai,http://www.hyundaiusa.com/,Sedan/Wagon,HYBR,Hybrid Electric,Hybrid Electric,,,,FWD
12810,45,9,351,27,Ioniq,2022,,,,54,57,55,Auto,SI,1.6L,4,1.6L I4,Hyundai,http://www.hyundaiusa.com/,Sedan/Wagon,HYBR,Hybrid Electric,Hybrid Electric,,,,FWD
13005,41,1,351,29,Ioniq 5 AWD (Long Range),2022,110,87,98,,,,Auto,e-motor,74 kW and 165 kW electric motors,,"74 kW and 165 kW electric motors;
111 Ah battery",Hyundai,http://www.hyundaiusa.com/,SUV,ELEC,Electric,Dedicated,256,,,AWD
13003,41,1,351,29,Ioniq 5 RWD,2022,127,94,110,,,,Auto,e-motor,125 kW electric motor,,"125 kW electric motor;
111 Ah battery",Hyundai,http://www.hyundaiusa.com/,SUV,ELEC,Electric,Dedicated,220,,,RWD
13004,41,1,351,29,Ioniq 5 RWD (Long Range),2022,132,98,114,,,,Auto,e-motor,168 kW electric motor,,"168 kW electric motor;
111 Ah battery",Hyundai,http://www.hyundaiusa.com/,SUV,ELEC,Electric,Dedicated,303,,,RWD
12811,45,9,351,27,Ioniq Blue,2022,,,,58,60,59,Auto,SI,1.6L,4,1.6L I4,Hyundai,http://www.hyundaiusa.com/,Sedan/Wagon,HYBR,Hybrid Electric,Hybrid Electric,,,,FWD
12833,57,9,351,27,Ioniq Plug-in Hybrid,2022,,,119,52,51,52,Auto,SI,1.6L,4,"1.6L I4;
45 kW electric motor",Hyundai,http://www.hyundaiusa.com/,Sedan/Wagon,PHEV,Plug-in Hybrid Electric,Hybrid Electric,29,Blended,,FWD
12879,41,1,351,29,Kona Electric,2022,132,108,120,,,,Auto,e-motor,150 kW electric motor,,"150 kW electric motor;
180 Ah battery",Hyundai,http://www.hyundaiusa.com/,SUV,ELEC,Electric,Dedicated,258,,,FWD
12812,45,9,351,27,Santa Fe Hybrid,2022,,,,33,30,32,Auto,SI,1.6L,4,1.6L I4,Hyundai,http://www.hyundaiusa.com/,Sedan/Wagon,HYBR,Hybrid Electric,Hybrid Electric,,,,4WD
12813,45,9,351,27,Santa Fe Hybrid Blue,2022,,,,36,31,34,Auto,SI,1.6L,4,1.6L I4,Hyundai,http://www.hyundaiusa.com/,Sedan/Wagon,HYBR,Hybrid Electric,Hybrid Electric,,,,4WD
12834,57,9,351,27,Santa Fe Plug-in Hybrid,2022,,,73,33,32,33,Auto,SI,1.6L,4,"1.6L I4;
45 kW electric motor",Hyundai,http://www.hyundaiusa.com/,Sedan/Wagon,PHEV,Plug-in Hybrid Electric,Hybrid Electric,18,Blended,,AWD
12814,45,9,351,27,Sonata Hybrid,2022,,,,45,51,47,Auto,SI,2.0L,4,2.0L I4,Hyundai,http://www.hyundaiusa.com/,Sedan/Wagon,HYBR,Hybrid Electric,Hybrid Electric,,,,FWD
12815,45,9,351,27,Sonata Hybrid Blue,2022,,,,50,54,52,Auto,SI,2.0L,4,2.0L I4,Hyundai,http://www.hyundaiusa.com/,Sedan/Wagon,HYBR,Hybrid Electric,Hybrid Electric,,,,FWD
12816,45,9,351,27,Tucson Hybrid,2022,,,,37,36,37,Auto,SI,1.6L,4,1.6L I4,Hyundai,http://www.hyundaiusa.com/,Sedan/Wagon,HYBR,Hybrid Electric,Hybrid Electric,,,,4WD
12817,45,9,351,27,Tucson Hybrid Blue,2022,,,,38,38,38,Auto,SI,1.6L,4,1.6L I4,Hyundai,http://www.hyundaiusa.com/,Sedan/Wagon,HYBR,Hybrid Electric,Hybrid Electric,,,,4WD
12888,57,9,351,29,Tucson Plug-in Hybrid,2022,,,80,35,35,35,Auto,SI,1.6L,4,"1.6L I4;
67 kW electric motor",Hyundai,http://www.hyundaiusa.com/,SUV,PHEV,Plug-in Hybrid Electric,Hybrid Electric,33,Blended,,AWD
12843,45,1,385,29,E-PACE MHEV,2022,,,,21,26,23,Auto,SI,2.0L,4,2.0L I4,Jaguar,http://www.jaguarusa.com/index.html,SUV,HYBR,Hybrid Electric,Dedicated,,,,AWD
13027,45,1,385,29,F-PACE P340 MHEV,2022,,,,20,27,22,Auto,SI,3.0L,6,3.0L V6,Jaguar,http://www.jaguarusa.com/index.html,SUV,HYBR,Hybrid Electric,Dedicated,,,,4WD
13045,45,1,385,29,F-PACE P400 MHEV,2022,,,,19,26,22,Auto,SI,3.0L,6,3.0L V6,Jaguar,http://www.jaguarusa.com/index.html,SUV,HYBR,Hybrid Electric,Dedicated,,,,4WD
13073,57,9,275,29,Grand Cherokee 4xe,2022,,,56,23,24,23,Auto,SI,2.0L,4,"2.0L I4;
50 kW electric motor",Jeep,https://www.jeep.com,SUV,PHEV,Plug-in Hybrid Electric,Hybrid Electric,26,Blended,,4WD
12866,45,9,275,29,Wagoneer 4x2,2022,,,,16,22,18,Auto,SI,5.7L,8,5.7L V8,Jeep,https://www.jeep.com,SUV,HYBR,Hybrid Electric,Hybrid Electric,,,,RWD
12867,45,9,275,29,Wagoneer 4x4,2022,,,,15,20,17,Auto,SI,5.7L,8,5.7L V8,Jeep,https://www.jeep.com,SUV,HYBR,Hybrid Electric,Hybrid Electric,,,,4WD
13028,45,9,275,29,Wrangler 2dr 4x4,2022,,,,20,24,21,Auto,SI,3.6L,6,3.6L V6,Jeep,https://www.jeep.com,SUV,HYBR,Hybrid Electric,Hybrid Electric,,,,4WD
