LawId,State,Title,Text,Type,Topic,Enacted_Date,Amended_Date,Recent?,Significant_Update_Date,Tech_Categories,User_Categories,Incentive_Categories,Regulation_Categories
12206,AL,Electric Vehicle Supply Equipment (EVSE) Grant Program,"The Alabama Department of Transportation is authorized to administer the
Electric Transportation Infrastructure Grant Program to distribute
grants for EVSE infrastructure expansion. (Reference [Code of
Alabama](http://alisondb.legislature.state.al.us/acas/ACASLogin.asp)
40-12-242)
",State Incentives,,2019-03-12 00:00:00 UTC,,False,2019-05-01 16:43:40 UTC,ELEC|PHEV,STATION,,OTHER
12273,AL,Medium- and Heavy-Duty Diesel Vehicle Replacement Rebates,"The Alabama Department of Economic and Community Affairs (ADECA) offers
grants for light-duty electric vehicle supply equipment (EVSE) and the
replacement of qualified medium- and heavy-duty diesel vehicles with new
diesel or alternative fuel vehicles. Grants are available for EVSE;
medium- and heavy-duty trucks; school, shuttle, and transit buses;
freight switchers; airport ground support equipment; and forklifts and
port cargo handling equipment. Vehicles must meet model year
requirements. Funding amounts are based on vehicle type, fuel type, and
applicant type. The program is funded by Alabama's portion of the
[Volkswagen Environmental Mitigation
Trust](https://www.epa.gov/enforcement/volkswagen-clean-air-act-civil-settlement).
For more information, including program guidance and the application,
see the ADECA [Volkswagen
Settlement](https://adeca.alabama.gov/Divisions/energy/vw/Pages/default.aspx)
website.
",State Incentives,,,,False,2019-09-06 19:39:28 UTC,AFTMKTCONV|ELEC|HEV|NG|PHEV|LPG,FLEET|GOV,RBATE,
12642,AL,Commercial Plug-In Electric Vehicle (PEV) Time-Of-Use (TOU) Rates - Alabama Power,"Alabama Power offers a discounted Business Electric Vehicle TOU (BEVT)
rate to commercial and industrial customers to charge fleet-owned PEV or
to provide electric vehicle supply equipment (EVSE) for the purpose of
public charging. Eligible customers electricity usage must be separately
metered from all other electrical load and be for the exclusive purpose
of charging PEVs. For more information, see the Alabama Power [BEVT
rate](https://www.alabamapower.com/business/pricing-and-rates/about-our-pricing.html)
website.
",Utility/Private Incentives,,,,False,2021-07-22 16:36:58 UTC,ELEC|PHEV,STATION|PURCH|FLEET,TOU,
12766,AL,Plug-In Electric Vehicle (PEV) Infrastructure Support,"Alabama utilities joined the National Electric Highway Coalition (NEHC),
committing to create a network of direct current fast (DC Fast) charging
stations connecting major highway systems from the Atlantic Coast to the
Pacific of the United States. NEHC utility members agree to ensure
efficient and effective fast charging deployment plans that enable long
distance EV travel, avoiding duplication among coalition utilities, and
complement existing corridor DC fast charging sites. For more
information, including a list of participating utilities and states, see
the [NEHC](https://www.eei.org/issuesandpolicy/Pages/NEHC.aspx) website.
",Utility/Private Incentives,,,,True,2022-01-03 20:45:10 UTC,ELEC|PHEV,STATION|AFP|IND,OTHER,
5815,AR,Alternative Fuels Tax and Reporting,"Excise taxes on alternative fuels are imposed on a gasoline gallon
equivalent (GGE) basis. The tax rate for each alternative fuel type is
based on the number of motor vehicles licensed in the state that use the
specific fuel, not including vehicles the federal government owns or
leases. The Arkansas Department of Finance and Administration (DFA) and
the Arkansas State Highways and Transportation Department must prepare
an annual report with the number of alternative fuel vehicles licensed
in the state and the tax revenue generated. The DFA must establish the
tax rate annually by April 1. Licensed alternative fuel suppliers must
pay alternative fuel taxes for product dispensed, sold to a dealer or
user, or used in a motor vehicle owned or operated by the alternative
fuel supplier. Alternative fuel suppliers must prepare a monthly report
on the number of GGEs of alternative fuels sold and possess a sufficient
number of credits (also known as sales tickets) to cover the alternative
fuel sales tax. (Reference [Arkansas
Code](http://www.lexisnexis.com/hottopics/arcode/Default.asp) 19-6-301,
26-56-502, 26-56-601, and 26-62-201 through 26-62-209)
",Laws and Regulations,,,,False,,BIOD|ETH|ELEC|HY|NG|PHEV|LPG,STATION|PURCH,,FUEL
5817,AR,Alternative Fuel Vehicle Conversion Notification,"Any individual or company who converts a vehicle to operate on an
alternative fuel must report the conversion to the Arkansas Department
of Finance and Administration (DFA) within 10 days of the conversion. An
owner or operator who fails to report such a conversion may be subject
to a penalty. For more information, including reporting forms, see the
[DFA](https://www.dfa.arkansas.gov/excise-tax/motor-fuel-tax/motor-fuel-tax-forms/)
website. (Reference [Arkansas
Code](http://www.lexisnexis.com/hottopics/arcode/Default.asp) 26-56-315
and 26-62-214)
",Laws and Regulations,,,,False,,AFTMKTCONV|BIOD|ETH|ELEC|HY|NG|PHEV|LPG,MAN|FLEET|GOV|IND,,REGIS
11930,AR,Public Utility Definition,"A person or corporation that supplies electricity to the public
exclusively to charge plug-in electric vehicles is not defined as a
public utility. (Reference [Arkansas
Code](http://www.lexisnexis.com/hottopics/arcode/Default.asp)
23-1-101(9))
",Laws and Regulations,,2017-02-28 00:00:00 UTC,,False,2018-03-21 14:55:38 UTC,ELEC|PHEV,STATION,,UTILITY
12182,AR,Hybrid Electric Vehicle (HEV) and Plug-In Electric Vehicle (PEV) Fee,"HEV and PEV owners must pay an annual fee in addition to other
registration fees. The fee is \$200 for all-electric vehicles and \$100
for plug-in hybrid electric vehicles. Beginning January 1, 2022, HEV
owners must pay an annual fee of \$50 for HEVs. Fees contribute to the
State Highway and Transportation Department Fund. Vehicles that are
registered with a special license plate or special license plate with
permanent decal pursuant to Arkansas Code 27-24-201 are exempt from the
annual fee. (Reference [Senate
Bill](http://www.arkleg.state.ar.us/assembly/) 225, 2021, [Senate
Bill](http://www.arkleg.state.ar.us/assembly/%22) 246, 2021, and
[Arkansas Code](http://www.lexisnexis.com/hottopics/arcode/Default.asp)
27-14-614 and 27-24-201)
",Laws and Regulations,,2019-03-05 00:00:00 UTC,2021-03-17 00:00:00 UTC,False,2019-04-02 15:10:55 UTC,ELEC|HEV|PHEV,IND,,FUEL
12667,AR,Electric Vehicle Supply Equipment (EVSE) Grants,"The Arkansas Department of Environmental Quality\'s (ADEQ) Level 2 EVSE
Rebate program offers rebates to government, private, and non-profit
entities for the construction and installation costs of Level 2 EVSE.
Funding is available in the following amounts:

Access

Applicant Type

Maximum Rebate (One EVSE Port)

Maximum Rebate (Two or More EVSE Ports)

Public

Government

\$6,850

\$9,300

Public

Non-Government

\$5,325

\$7,225

Private

Workplace

\$1,875

\$3,375

Private

Multi-Unit Dwelling

\$1,875

\$3,375

Rebates are awarded on a first-come, first served basis. The program is
funded by Arkansas\'s portion of the Volkswagen Environmental Mitigation
Trust. For more information, including eligibility and how to apply, see
the ADEQ\'s Volkswagen Settlement website. (Reference [Arkansas
Code](http://www.lexisnexis.com/hottopics/arcode/Default.asp) 15-10-101
and 19-5-1273)
",State Incentives,,,,False,2021-09-13 18:03:00 UTC,ELEC|PHEV,STATION|FLEET|GOV|MUD|IND,GNT,
12768,AR,Plug-In Electric Vehicle (PEV) Infrastructure Support ,"Arkansas utilities joined the National Electric Highway Coalition
(NEHC), committing to create a network of direct current fast (DC Fast)
charging stations connecting major highway systems from the Atlantic
Coast to the Pacific of the United States. NEHC utility members agree to
ensure efficient and effective fast charging deployment plans that
enable long distance EV travel, avoiding duplication among coalition
utilities, and complement existing corridor DC fast charging sites. For
more information, including a list of participating utilities and
states, see the
[NEHC](https://www.eei.org/issuesandpolicy/Pages/NEHC.aspx) website.
",Utility/Private Incentives,,,,True,2022-01-03 20:58:55 UTC,ELEC|PHEV,STATION|AFP|IND,OTHER,
4178,AZ,Alternative Fuel Vehicle (AFV) Emissions Test Exemption,"Qualified AFVs registered for the first time in Arizona are not required
to complete emissions testing. This exemption does not apply after the
first registration year. All AFVs, excluding electric, solar, and
hydrogen vehicles, used to commute into Phoenix or Tucson, are required
to be emissions tested before they are registered. For more information,
visit the [Arizona Department of Environmental
Quality](https://www.azdeq.gov/) website. (Reference [Arizona Revised
Statutes](http://www.azleg.gov/ArizonaRevisedStatutes.asp) 49-542 and
49-542.05)
",State Incentives,,2016-01-01 00:00:00 UTC,,False,2015-05-13 18:37:27 UTC,ELEC|HY|NG|LPG,FLEET|GOV|IND,EXEM,
4179,AZ,Reduced Alternative Fuel Vehicle (AFV) License Tax,"The vehicle license tax for an AFV registered in Arizona is \$4 for
every \$100 in assessed value. The minimum amount of the annual AFV
license tax is \$5. AFV assessed values are determined as follows:

-   AFVs registered prior to January 1, 2022: 1% of the manufacturer's
    suggested retail price (MSRP)
-   AFVs initially registered between January 1, 2022 and December 31,
    2022: 20% of the MSRP.

For each succeeding year, for the purpose of calculating the license
tax, the value of the AFV is reduced by 15% from the value from the
preceding year.

For the purpose of this tax, AFVs include those powered exclusively by
propane, natural gas, electricity, hydrogen, or a blend of hydrogen with
propane or natural gas. For more information, see the ADOT
[AFV](https://azdot.gov/motor-vehicles/vehicle-services/vehicle-registration/alternative-fuel-vehicle)
website. The reduced alternative fuel vehicle license tax does not apply
to any vehicle purchased on or after December 31, 2022.

(Reference [Arizona Revised
Statutes](http://www.azleg.gov/ArizonaRevisedStatutes.asp) 1-215,
28-5801, 28-5805)
",State Incentives,,2018-04-25 00:00:00 UTC,2019-06-07 00:00:00 UTC,False,2019-06-28 23:33:14 UTC,ELEC|HY|NG|PHEV|LPG,FLEET|GOV|IND,TAX,
5188,AZ,State Vehicle Acquisition and Fuel Use Requirements,"Arizona state agencies, boards, and commissions must purchase hybrid
electric vehicles, alternative fuel vehicles (AFVs), or vehicles that
meet set greenhouse gas emissions standards. At least 75% of light-duty
state fleet vehicles operating in counties with a population of more
than 250,000 people must be capable of operating on alternative fuels.
If the AFVs operate in counties with populations of more than 1.2
million people, those vehicles must meet U.S. Environmental Protection
Agency emissions standards for Low Emission Vehicles. Alternatively, the
state fleet may meet AFV acquisition requirements through biodiesel or
alternative fuel use or apply for waivers. For the purpose of these
requirements, alternative fuels include propane, natural gas,
electricity, hydrogen, qualified diesel fuel substitutes, E85, and a
blend of hydrogen with propane or natural gas. (Reference [Arizona
Revised Statutes](http://www.azleg.gov/ArizonaRevisedStatutes.asp)
41-803)
",Laws and Regulations,,,2010-02-02 00:00:00 UTC,False,,BIOD|ETH|ELEC|HEV|HY|NG|PHEV|LPG,GOV,,REQ
5426,AZ,Alternative Fuel Vehicle (AFV) Parking Incentive,"An individual driving a dedicated AFV may park without penalty in
parking areas that are designated for carpool operators, provided the
vehicle is using alternative fuel. Recognized alternative fuels include
propane, natural gas, electricity, hydrogen, and a blend of hydrogen
with propane or natural gas. (Reference [Arizona Revised
Statutes](http://www.azleg.gov/ArizonaRevisedStatutes.asp) 1-215 and
28-877)
",State Incentives,,2013-01-01 00:00:00 UTC,,False,,ELEC|HY|NG|PHEV|LPG,FLEET|GOV|IND,EXEM,
5595,AZ,Alternative Fuel Vehicle (AFV) Dealer Information Dissemination Requirement,"New motor vehicle dealers must make information about AFVs and
Arizona-based incentives for purchasing or leasing AFVs available to the
public. For the purpose of these requirements, alternative fuels include
propane, natural gas, electricity, hydrogen, and a blend of hydrogen
with propane or natural gas. (Reference [Arizona Revised
Statutes](http://www.azleg.gov/ArizonaRevisedStatutes.asp) 28-4414)
",Laws and Regulations,,,,False,,ELEC|HY|NG|PHEV|LPG,OTHER,,OTHER
5596,AZ,Electric Vehicle (EV) Parking Space Regulation,"An individual is not allowed to stop, stand, or park a motor vehicle
within any parking space specifically designated for parking and
charging EVs unless the motor vehicle is an EV and has been issued an
alternative fuel vehicle special plate or sticker. Violators may be
subject to a civil penalty of at least \$350. (Reference [Arizona
Revised Statutes](http://www.azleg.gov/ArizonaRevisedStatutes.asp)
28-876)
",Laws and Regulations,,,,False,,ELEC|PHEV,FLEET|GOV|IND,,OTHER
5872,AZ,Alternative Fuel Vehicle (AFV) Special License Plate,"The Arizona Department of Transportation (ADOT) must issue a special
license plate to dedicated AFVs. Dedicated AFVs are defined as vehicles
powered exclusively by propane, compressed natural gas, electricity, or
hydrogen. AFVs must not be capable of operating on any other fuel type.
There is no limit to the number of AFV license plates ADOT can issue.
The Arizona Department of Environmental Quality (ADEQ) must inspect
vehicles converted to operate solely on alternative fuel and issue an
Alternative Fuel Certificate before converted vehicles may receive the
AFV special plate. State or agency directors who conduct activities of a
confidential nature and use AFVs are exempt from the requirement to
display an AFV special license plate. For more information, see the ADOT
[Specialty
Plates](https://azdot.gov/motor-vehicles/vehicle-services/plates-and-placards)
and ADEQ [Vehicle Emissions Testing](http://www.azdeq.gov/EmissionsTest)
website.

(Reference [Arizona Revised Statutes](https://www.azleg.gov/arstitle/)
1-215 and 28-2416)
",Laws and Regulations,,,,False,2020-06-12 19:43:42 UTC,ELEC|HY|NG|LPG,FLEET|GOV|IND,,REGIS
5874,AZ,Alternative Fuel and Alternative Fuel Vehicle (AFV) Use Tax Exemption,"Arizona use taxes do not apply to natural gas or propane used in an AFV,
AFVs converted to operate on alternative fuels, or the equipment used to
convert a diesel vehicle to an AFV. Recognized alternative fuels include
propane, natural gas, electricity, hydrogen, and a blend of hydrogen
with propane or natural gas. (Reference [Arizona Revised
Statutes](http://www.azleg.gov/ArizonaRevisedStatutes.asp) 42-5159)
",State Incentives,,,,False,,ELEC|HY|NG|PHEV|LPG,AFP|PURCH|FLEET|GOV|IND,EXEM|TAX,
6206,AZ,Joint Use of Government Fueling Infrastructure,"To the extent practical, an Arizona state agency or political
subdivision that operates an alternative fueling station must allow
vehicles, other state agencies, or political subdivisions to fuel at the
station. For the purpose of this requirement, alternative fuels include
propane, natural gas, electricity, hydrogen, and a blend of hydrogen
with propane or natural gas. (Reference [Arizona Revised
Statutes](http://www.azleg.gov/ArizonaRevisedStatutes.asp) 49-572)
",Laws and Regulations,,,,False,,ELEC|HY|NG|PHEV|LPG,STATION|OTHER,,REQ
8400,AZ,Municipal Alternative Fuel Vehicle (AFV) Acquisition Requirements,"Local governments in Maricopa, Pinal, and Yavapai counties with a
population of more than 1.2 million people must develop and implement
vehicle fleet plans to encourage and increase the use of alternative
fuels in municipal fleets. At least 75% of the total municipal fleet
must operate on alternative fuels. Alternatively, municipal fleets may
meet AFV acquisition requirements through biodiesel or other alternative
fuel use or apply for waivers. Local governments in counties with
populations of more than 500,000 people with bus fleets must purchase or
convert buses to operate on alternative fuels. For the purpose of these
requirements, alternative fuels include propane, natural gas,
electricity, hydrogen, qualified diesel fuel substitutes, E85, and a
blend of hydrogen with propane or natural gas. (Reference [Arizona
Revised Statutes](https://www.azleg.gov/arstitle/) 9-500.04, 49-474.01,
49-541, and 49-571)
",Laws and Regulations,,,,False,,BIOD|ETH|ELEC|HY|NG|PHEV|LPG,GOV,,REQ
8402,AZ,Federal Fleet Operation Regulations,"Federal fleets based in Arizona that operate primarily in counties with
a population of more than 1.2 million people must be comprised of at
least 90% alternative fuel vehicles. Alternatively, federal fleets may
meet acquisition requirements through alternative fuel use or apply for
waivers. For the purpose of these requirements, alternative fuels
include propane, natural gas, electricity, hydrogen, qualified diesel
fuel substitutes, E85, and a blend of hydrogen with propane or natural
gas. (Reference [Arizona Revised
Statutes](https://www.azleg.gov/arstitle/) 49-573)
",Laws and Regulations,,,,False,,BIOD|ETH|ELEC|HEV|HY|NG|PHEV|LPG,GOV,,REQ
11625,AZ,Plug-in Electric Vehicle (PEV) Time-Of-Use (TOU) Rate - Salt River Project (SRP),"SRP offers a TOU rate for residential customers that own or lease a PEV.
The TOU rate applies to daily super off-peak hours and additional
off-peak hours on weekends, holidays, and some weekday hours. Eligible
customers must be able to separately meter EV charger usage. For more
information, including how to enroll, see the SRP [Electric Vehicle
Price Plan](https://www.srpnet.com/prices/home/electricvehicle.aspx)
website.
",Utility/Private Incentives,,,,False,2020-05-11 15:24:11 UTC,ELEC|PHEV,IND,TOU,
11881,AZ,Regional Electric Vehicle (REV) West Plan,"Arizona joined Colorado, Idaho, Montana, Nevada, New Mexico, Utah, and
Wyoming (Signatory States) in signing the REV West [memorandum of
understanding](https://www.naseo.org/Data/Sites/1/revwest_mou.pdf) (MOU)
to create an Intermountain West Electric Vehicle (EV) Corridor that will
make it possible to seamlessly drive an EV across the Signatory States\'
major transportation corridors.

In 2019, the Signatory States signed a revised [REV West
MOU](https://www.naseo.org/issues/transportation/rev-west) to update
their EV corridor goals based on progress to date. Signatory States are
committed to:

-   Educate consumers and fleet owners to raise EV awareness, reduce
    range anxiety, and increase EV adoption;
-   Coordinate on EV charging station locations to achieve a consistent
    user experience across Signatory States;
-   Use and promote the REV West [Voluntary Minimum
    Standards](https://www.naseo.org/Data/Sites/1/revwest_volminimumstandards.pdf)
    for EV charging stations and explore opportunities for implementing
    the standards in Signatory States;
-   Identify and develop opportunities to incorporate EV charging
    stations into planning and development processes such as building
    codes, metering policies, and renewable energy generation projects;
-   Encourage EV manufacturers to stock and market a wide variety of EVs
    within the Signatory States;
-   Identify, respond to, and collaborate on funding opportunities to
    support the development of the plan; and
-   Support the build-out of direct current (DC) fast charging stations
    along EV corridors through investments, partnerships, and other
    mechanisms.

The Signatory States maintain a coordination group composed of senior
leadership from each state who meet on a quarterly basis and report on
the above actions. For more information, see the [REV
West](https://www.naseo.org/issues/transportation/rev-west) website.
",Laws and Regulations,,2017-10-04 00:00:00 UTC,2019-12-13 00:00:00 UTC,False,2020-02-03 19:45:02 UTC,ELEC|PHEV,STATION|MAN|OTHER,,REQ|OTHER
11994,AZ,Electric Vehicle Supply Equipment (EVSE) Rebate - Salt River Project (SRP),"SRP offers a rebate of \$1,500 per port for commercial, workplace, and
multifamily customers who install networked Level 2 EVSE. EVSE must be
installed between May 1, 2021, and April 30, 2022. To receive a rebate,
customers must apply on or before July 31, 2022. Applicants may receive
a maximum of 50 rebates per program year. Funds will be awarded on a
first-come, first-served basis. For more information, including how to
apply, see the SRP [Business EV Charger
Rebate](https://savewithsrpbiz.com/rebates/evcharger.aspx) website.
",Utility/Private Incentives,,,,False,2020-05-11 15:20:12 UTC,ELEC|PHEV,STATION|PURCH|FLEET,RBATE,
12349,AZ,Electric Vehicle (EV) Definition and Implementation Plan,"The Arizona Corporation Commission (Commission) defines EVs as
transportation vehicles that use electricity for propulsion. The
Commission issued an EV policy statement that provides guidelines on
EVs, charging infrastructure, and transportation electrification to
utilities the Commission regulates. The policy addresses the state of
EVs in Arizona, EV benefits, and barriers to adoption. This policy
purposefully does not define the Commission's role with respect to
electric vehicle charging infrastructure operated by non-utilities at
this time, but will explore it in the future. For more information, see
the Commission's [EV policy
statement](https://docket.images.azcc.gov/0000195197.pdf) and the
[Corporation Commission](https://www.azcc.gov/) website. (Reference
[Docket](https://edocket.azcc.gov/Search/DocketDetailSearch?docketId=21658)
RU-00000A-18-0284 decision number 77044)
",Laws and Regulations,,2019-01-16 00:00:00 UTC,,False,2019-12-19 16:16:14 UTC,ELEC|PHEV,STATION|MAN|GOV|IND,,CCEINIT
12350,AZ,Electric Vehicle Supply Equipment (EVSE) Rebate - Tucson Electric Power (TEP),"TEP provides a rebate to residential customers that covers up to 75% of
the cost of EVSE installation. The maximum rebate awards are \$500 for a
two-way charger and \$250 for a one-way charger. For more information,
including how to apply, see the TEP [Electric Vehicle
Rebates](https://www.tep.com/ev-rebates/) website.
",Utility/Private Incentives,Vehicle Purchase and Infrastructure Development Incentives,,,False,2019-12-19 16:24:21 UTC,ELEC|PHEV,IND,RBATE,
12351,AZ,Plug-In Electric Vehicle (PEV) Charging Rates - Tuscon Electric Power (TEP),"TEP offers three time-of-use (TOU) rates for residential customers with
PEVs. For more information, see the TEP [Rates for EV
Owners](https://www.tep.com/rates-for-ev-owners/) website.
",Utility/Private Incentives,,,,False,2019-12-19 16:46:58 UTC,ELEC|PHEV,IND,TOU,
12402,AZ,Commercial Electric Vehicle Supply Equipment (EVSE) Rebate – Tucson Electric Power (TEP),"TEP offers rebates and technical support to businesses, multi-family
dwellings, and non-profit customers that purchase and install between
two to five EVSE ports. TEP will evaluate the electrical capacity and
supporting EVSE infrastructure at locations that install six or more
ports on a case-by-case basis. Higher rebates are available for
commercial customers located in lower-income areas. Low-income areas are
defined as U.S. Census tracts where the average household income does
not exceed 80% of the median Arizona household income. Rebates are
available in the following amounts:

<div>

  EVSE Type                          Location                                           Rebate                                         Low-Income Area Rebate
  ---------------------------------- -------------------------------------------------- ---------------------------------------------- ----------------------------------------------
  Level 2                            Workplace                                          \$4,500 per port; up to 75% of project cost    \$6,000 per port; up to 75% of project cost
  Level 2                            Multi-Family Dwelling or Non-profit Organization   \$6,000 per port; up to 85% of project cost    \$9,000 per port; up to 85% of project cost
  Direct Current (DC) Fast Charger   All                                                \$24,000 per port; up to 75% of project cost   \$40,000 per port; up to 75% of project cost

</div>

For more information, including project eligibility and how to apply,
see the TEP [Smart Electric Vehicle Charging
Program](https://www.tep.com/smart-ev-charging-program/) website.
",Utility/Private Incentives,,,,False,2020-05-11 18:09:06 UTC,ELEC|PHEV,STATION|FLEET|OTHER,RBATE,
12413,AZ,High Occupancy Vehicle (HOV) Lane Exemption,"The Arizona Department of Transportation (ADOT) allows qualified
alternative fuel vehicles (AFV) with an AFV license plate to use HOV
lanes, regardless of the number of occupants. Qualified AFVs are defined
as vehicles powered exclusively by electricity, propane, natural gas,
hydrogen, or a blend of hydrogen with propane or natural gas. Qualified
AFVs must not be capable of operating on any other fuel type. This
exemption expires September 20, 2025. For more information about vehicle
eligibility and HOV access, visit the ADOT
[AFV](https://azdot.gov/motor-vehicles/vehicle-services/vehicle-registration/alternative-fuel-vehicle)
website. (Reference [Arizona Revised
Statutes](https://www.azleg.gov/arstitle/) 1-215 and 28-2416)
",State Incentives,,,,False,2020-06-12 19:19:24 UTC,ELEC|HY|NG|LPG,IND,EXEM,
